titre,acronym,rankc
3-D Digital Imaging and Modelling,3DIM,C
International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,C
IEEE Symposium on 3D User Interfaces,3DUI,B
International Conference on 3G Mobile Communication Technologies,3G,C
International Workshop on Advanced Architectures and Algorithms for Internet Delivery and Applications,AAA-IDEA,C
International Symposium on Applied Algebra Algebraic Algorithms and Error-Correcting Codes,AAAAECC,B
Symposium of Asian Association for Algorithms and Computation,AAAC,C
National Conference of the American Association for Artificial Intelligence,AAAI,A*
American Association of Cost Engineers Annual Meeting,AACE,A
AAEE - Annual Conference of Australasian Association for Engineering Education,AAEE,B
Conference on Algorithmic Aspects in Information and Management,AAIM,C
International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems ICMAS changed in 2000),AAMAS,A*
Association of Architecture Schools of Australasia Annual Conference (AASA),AASA,C
International Conference Abstract State Machines Alloy B TLA VDM and Z (Previously International Conference of B and Z Users ZB changed in 2008),ABZ,C
Athens Colloquium on Algorithms and Complexity,ACAC,C
Australasian Computer Architecture Conference,ACAC,A
Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,A
Advanced Course on Artificial Intelligence,ACAI,C
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,B
Applied Computing Conference,ACC,C
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,C
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,A
Asian Conference on Computer Vision,ACCV,B
ACM International Conference on Advances in Computer Entertainment (merged with DIMEA Digital Interactive Media in Entertainment and Arts in 2009),ACE,C
Australasian Computing Education Conference (ACE),ACE,B
Australasian Computers in Education Conference,ACEC,A
Workshop on Algorithms Combinatorics and Geometry,ACG,C
International Conference on Advances in Computer-Human Interactions,ACHI,C
Algorithms and Complexity in Durham,ACID,C
International Conference on Affective Computing and Intelligent,ACII,C
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B
Australasian Conference on Information Systems,ACIS,A
Australasian Conference on Information Security and Privacy,ACISP,B
Advanced Concepts for Intelligent Vision Systems,ACIVS,B
Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,A
Association for Computational Linguistics,ACL,A*
ACM SIGCOMM Internet Measurement Conference,ACM IMC,A
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,B
Australasian Computer Music Conference,ACMA,A
Asian Conference on Machine Learning,ACML,
ACM Multimedia,ACMMM,A*
Australian Conference on Neural Networks,ACNN,A
International Conference on Applied Cryptography and Network Security,ACNS,B
Australian Conference on Software Metrics,ACOSM,A
Workshop on Aspects Components and Patterns for Infrastructure Software,ACP4IS,C
Australasian Conference on Robotics and Automation,ACRA,C
Australian Supercomputing Conference,ACS,A
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,B
Annual Computer Security Applications Conference,ACSAC,A
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,A
Australasian Computer Science Conference,ACSC,A
Application of Concurrency to System Design,ACSD,C
Asilomar Conference on Signals Systems and Computing,ACSSC,A
International Conference on Reliable Software Technologies,Ada-Europe,A*
Symposium on Advances in DB and Information Systems,ADBIS,C
Australasian Database Conference,ADC,B
International Conference on Advanced Computing and Communications,AdCom,A
Australasian Document Computing Symposium,ADCS,B
International Conference on AD-HOC Networks and Wireless,ADHOC-NOW,C
International Conference on Advanced Data Mining and Applications,ADMA,C
International Workshop on Agents and Data Mining Interaction,ADMI,B
International Symposium on Advanced DB Technologies and Integration,ADTI,B
Advances in Information Systems,ADVIS,C
International Conference on Innovation in Architecture Engineering and Construction,AEC,C
IASTED International Conferenceon AI Exp Sys & Neural Networks,AEN,C
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,A
Asia-Pacific Forum on Engineering and Technology Education,AFETE,C
American Federation of Information Processing Societies,AFIPS,A
International Conference on Computer Graphics Virtual Reality Visualisation and Interaction in Africa,AFRIGRAPH,C
Australian Game Developers Conference,AGDC,A
Australasian Housing Researchers Conference,AHRC,A
Australasian Joint Conference on Artificial Intelligence,Australasian Joint Conference on Artificial Intelligence,B
IASTED International Conference on Applied Informatics,IASTED International Conference on Applied Informatics,C
Congress of the Italian Assoc for AI,AI*IA,B
Artificial Intelligence and Applications Conference,AIA,C
AIAA Aerospace Sciences Meeting,AIAA,B
Artificial Intelligence Applications and Innovations,AIAI,C
Australian Institute of Building Surveyors International Refereed Conference,AIBS,B
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C
Australian Institute of Computer Ethics Conference,AICE,C
Australian Institute of Computer Ethics Conference,AICEC,A
International Conference on AI in Design,AID,A
International Conference on Artificial Intelligence in Education,AIED,A
Artificial Intelligence in Medicine,AIIM,A
Artificial Intelligence in Knowledge Management,AIKM,C
Artificial Intelligence in Medicine in Europe,AIME,B
Advances in Modal Logic,AiML,B
International Conference on Artificial Intelligence: Methodology Systems Applications,AIMSA,B
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B
International Conference on Artificial Intelligence and Pattern Recognition,AIPR,C
Asia Information Retrieval Symposium,AIRS,C
Advances in Intelligent Systems,AIS,C
Ambient Information Systems,Ambient Information Systems,B
International Conference on Informatics Education and Research,AIS SIGED: IAIM,B
International Conference on Artificial Intelligence in Science and Technology,AISAT,C
